"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
09/02/1999,16:00,2975.00,2978.00,2923.50,2961.50,3404,-1.116809,-0.223362,-0.893447,68.40,72.06,74.92,2964.6500,2896.8000,3.1500,64.7000,2,0,1
09/03/1999,16:00,2965.00,3074.50,2957.50,3074.00,2633,6.995284,1.220367,5.774917,75.17,79.61,76.01,2982.9500,2902.6900,91.0500,171.3100,3,0,1
09/07/1999,16:00,3109.50,3109.50,3058.50,3062.50,3398,12.353815,3.447057,8.906758,73.44,81.91,77.86,2993.1000,2908.4200,69.4000,154.0800,4,0,1
09/08/1999,16:00,3055.50,3067.00,3017.00,3028.50,18,13.699060,5.497458,8.201602,68.42,83.13,81.55,2998.1500,2912.4900,30.3500,116.0100,5,0,1
09/09/1999,16:00,3003.00,3069.00,3003.00,3065.50,2263,17.548479,7.907662,9.640817,70.76,78.41,81.15,3001.5000,2916.6900,64.0000,148.8100,6,0,1
09/10/1999,16:00,3069.00,3116.00,3056.00,3096.50,3070,22.837357,10.893601,11.943756,72.60,81.00,80.84,3012.1000,2920.8500,84.4000,175.6500,7,0,1
09/13/1999,16:00,3108.50,3108.50,3049.00,3059.50,3680,23.769244,13.468729,10.300514,67.18,83.26,80.89,3021.3000,2923.9000,38.2000,135.6000,8,0,1
09/14/1999,16:00,3060.00,3092.00,3040.50,3075.00,4505,25.464947,15.867973,9.596974,68.25,82.63,82.30,3035.3000,2926.6400,39.7000,148.3600,9,0,1
09/15/1999,16:00,3075.00,3110.50,3022.00,3025.00,5095,22.514686,17.197316,5.317371,61.31,71.70,79.20,3042.3500,2928.5900,17.3500,96.4100,10,0,1
09/16/1999,16:00,3024.00,3044.00,2973.50,2979.50,5922,16.317021,17.021257,-0.704236,55.75,59.68,71.34,3042.7500,2929.7000,63.2500,49.8000,11,0,1
09/17/1999,16:00,3028.00,3105.00,3023.50,3104.00,3096,21.206976,17.858400,3.348575,65.08,64.04,65.14,3057.0000,2932.4700,47.0000,171.5300,12,0,1
